product_url,name,brand,ingredients_raw,ingredients_list
https://incidecoder.com/products/dr-jetske-ultee-suncare-spf-30,Dr. Jetske Ultee Suncare Spf 30,Dr.,"Aqua, C12-15 Alkyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Methylpropanediol, Dipropylene Glycol Dibenzoate, Niacinamide, Cyclopentasiloxane, Potassium Cetyl Phosphate, Niacinamide, Caffeine, Tocopheryl Acetate, Camellia Sinensis Leaf Extract, Tocopherol, Niacinamide, Niacinamide, Glycerin, Camellia Sinensis Leaf Extract, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol","['aqua', 'c12-15 alkyl benzoate', 'bis-ethylhexyloxyphenol methoxyphenyl triazine', 'methylene bis-benzotriazolyl tetramethylbutylphenol', 'methylpropanediol', 'dipropylene glycol dibenzoate', 'niacinamide', 'cyclopentasiloxane', 'potassium cetyl phosphate', 'niacinamide', 'caffeine', 'tocopheryl acetate', 'camellia sinensis leaf extract', 'tocopherol', 'niacinamide', 'niacinamide', 'glycerin', 'camellia sinensis leaf extract', 'bis-ethylhexyloxyphenol methoxyphenyl triazine', 'methylene bis-benzotriazolyl tetramethylbutylphenol']"
https://incidecoder.com/products/hylamide-booster-pore-flush-discontinued,Hylamide Booster Pore Flush (Discontinued),Hylamide,"Aqua (Water), Hamamelis Virginiana Leaf Water, Pseudoalteromonas Ferment Extract, Butylene Glycol, Spiraea Ulmaria Extract, Barosma Betulina Leaf Extract, Gellan Gum, Isoceteth-20, Trisodium Ethylenediamine Disuccinate, Hamamelis Virginiana Leaf Water, Pseudoalteromonas Ferment Extract, Spiraea Ulmaria Extract, Lactobacillus Ferment","['aqua (water)', 'hamamelis virginiana leaf water', 'pseudoalteromonas ferment extract', 'butylene glycol', 'spiraea ulmaria extract', 'barosma betulina leaf extract', 'gellan gum', 'isoceteth-20', 'trisodium ethylenediamine disuccinate', 'hamamelis virginiana leaf water', 'pseudoalteromonas ferment extract', 'spiraea ulmaria extract', 'lactobacillus ferment']"
https://incidecoder.com/products/cosrx-triple-c-lightning-liquid,COSRX Triple C Lightning Liquid,COSRX,"Aronia Melanocarpa Fruit Extract (Black Chokeberry), Ascorbic Acid (Vitamin C) 20.5%, Butylene Glycol, Sodium Lactate, Licorice Root Extract, 1,2- Hexanediol, Pullulan, Sodium Hyaluronate, Cassia Obtusifolia Seed Extract, Aronia Melanocarpa Fruit Extract (Black Chokeberry), Ascorbic Acid (Vitamin C) 20.5%, Ascorbic Acid (Vitamin C) 20.5%, Licorice Root Extract, Sodium Hyaluronate, Licorice Root Extract, Allantoin","['aronia melanocarpa fruit extract (black chokeberry)', 'ascorbic acid (vitamin c) 20.5%', 'butylene glycol', 'sodium lactate', 'licorice root extract', '1', '2- hexanediol', 'pullulan', 'sodium hyaluronate', 'cassia obtusifolia seed extract', 'aronia melanocarpa fruit extract (black chokeberry)', 'ascorbic acid (vitamin c) 20.5%', 'ascorbic acid (vitamin c) 20.5%', 'licorice root extract', 'sodium hyaluronate', 'licorice root extract', 'allantoin']"
https://incidecoder.com/products/avene-tolerance-extreme-creme-discontinued,Avene Tolerance Extreme Creme (Discontinued),Avene,"Avene Thermal Spring Water (Avene Aqua), Caprylic/Capric Triglyceride, Glycerin, Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter), Carthamus Tinctorius (Safflower) Seed Oil (Carthamus Tinctorius Seed Oil), Behenyl Alcohol, Sodium Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Water (Aqua), Carthamus Tinctorius (Safflower) Seed Oil (Carthamus Tinctorius Seed Oil), Glycerin","['avene thermal spring water (avene aqua)', 'caprylic/capric triglyceride', 'glycerin', 'butyrospermum parkii (shea) butter (butyrospermum parkii butter)', 'carthamus tinctorius (safflower) seed oil (carthamus tinctorius seed oil)', 'behenyl alcohol', 'sodium acrylates/c10-30 alkyl acrylate crosspolymer', 'water (aqua)', 'carthamus tinctorius (safflower) seed oil (carthamus tinctorius seed oil)', 'glycerin']"
https://incidecoder.com/products/beauty-pie-triple-hyaluronic-ha-peptide-serum,Beauty Pie Triple Hyaluronic Ha + Peptide Serum,Beauty,"Aqua (Water), Methylpropanediol, Dimethylsilanol Hyaluronate, Glycerin, Butylene Glycol, Xylitylglucoside, Anhydroxylitol, 1,2 Hexanediol, Phenoxyethanol, Acetyl Dipeptide-1 Cetyl Ester, Glycerin, Sodium Hyaluronate, Hyaluronic Acid, Acetyl Dipeptide-1 Cetyl Ester, Alteromonas Ferment Extract","['aqua (water)', 'methylpropanediol', 'dimethylsilanol hyaluronate', 'glycerin', 'butylene glycol', 'xylitylglucoside', 'anhydroxylitol', '1', '2 hexanediol', 'phenoxyethanol', 'acetyl dipeptide-1 cetyl ester', 'glycerin', 'sodium hyaluronate', 'hyaluronic acid', 'acetyl dipeptide-1 cetyl ester', 'alteromonas ferment extract']"
https://incidecoder.com/products/some-by-mi-aha-bha-pha-tea-tree-30-days-miracle-cream-discontinued,"Some By Mi Aha, Bha, Pha Tea Tree 30 Days Miracle Cream (Discontinued)",Some,"Centella Asiatica Extract (70.78%), Dipropylene Glycol, Glycerin, Water, Niacinamide, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Melaleuca Alternifolia (Tea Tree) Leaf Extract(10,000Ppm), Cholesteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Niacinamide, Centella Asiatica Extract (70.78%), Curcuma Longa (Turmeric) Root Extract, Calendula Officinalis Flower Extract, Camellia Sinensis Leaf Extract, Hamamelis Virginiana (Witch Hazel) Extract, Houttuynia Cordata Extract, Madecassoside, Asiaticoside, Niacinamide, Adenosine, Capryloyl Salicylic Acid(100Ppm), Lactobionic Acid(100Ppm), Niacinamide, Curcuma Longa (Turmeric) Root Extract, Glycerin, Sodium Hyaluronate, Ceramide NP, Centella Asiatica Extract (70.78%), Curcuma Longa (Turmeric) Root Extract, Calendula Officinalis Flower Extract, Camellia Sinensis Leaf Extract, Salix Alba (Willow) Bark Extract, Hamamelis Virginiana (Witch Hazel) Extract, Houttuynia Cordata Extract, Allantoin, Madecassoside","['centella asiatica extract (70.78%)', 'dipropylene glycol', 'glycerin', 'water', 'niacinamide', 'caprylic/capric triglyceride', 'cetyl ethylhexanoate', 'melaleuca alternifolia (tea tree) leaf extract(10', '000ppm)', 'cholesteryl/behenyl/octyldodecyl lauroyl glutamate', 'niacinamide', 'centella asiatica extract (70.78%)', 'curcuma longa (turmeric) root extract', 'calendula officinalis flower extract', 'camellia sinensis leaf extract', 'hamamelis virginiana (witch hazel) extract', 'houttuynia cordata extract', 'madecassoside', 'asiaticoside', 'niacinamide', 'adenosine', 'capryloyl salicylic acid(100ppm)', 'lactobionic acid(100ppm)', 'niacinamide', 'curcuma longa (turmeric) root extract', 'glycerin', 'sodium hyaluronate', 'ceramide np', 'centella asiatica extract (70.78%)', 'curcuma longa (turmeric) root extract', 'calendula officinalis flower extract', 'camellia sinensis leaf extract', 'salix alba (willow) bark extract', 'hamamelis virginiana (witch hazel) extract', 'houttuynia cordata extract', 'allantoin', 'madecassoside']"
https://incidecoder.com/products/paulas-choice-resist-10-niacinamide-booster-discontinued,Paula's Choice 10% Niacinamide Booster (Discontinued),Paula's,"Water (Aqua), Niacinamide 10.0%, Acetyl Glucosamine, Ascorbyl Glucoside, Butylene Glycol, Phospholipids, Sodium Hyaluronate, Allantoin, Boerhavia Diffusa Root Extract, Niacinamide 10.0%, Ascorbyl Glucoside, Ubiquinone, Epigallocatechin Gallate, Carnosine, Genistein, Niacinamide 10.0%, Carnosine, Niacinamide 10.0%, Acetyl Glucosamine, Ascorbyl Glucoside, Glycyrrhiza Glabra (Licorice) Root Extract, Acetyl Glucosamine, Phospholipids, Sodium Hyaluronate, Glycerin, Allantoin, Dipotassium Glycyrrhizate, Glycyrrhiza Glabra (Licorice) Root Extract, Epigallocatechin Gallate, Beta-Glucan, Panthenol","['water (aqua)', 'niacinamide 10.0%', 'acetyl glucosamine', 'ascorbyl glucoside', 'butylene glycol', 'phospholipids', 'sodium hyaluronate', 'allantoin', 'boerhavia diffusa root extract', 'niacinamide 10.0%', 'ascorbyl glucoside', 'ubiquinone', 'epigallocatechin gallate', 'carnosine', 'genistein', 'niacinamide 10.0%', 'carnosine', 'niacinamide 10.0%', 'acetyl glucosamine', 'ascorbyl glucoside', 'glycyrrhiza glabra (licorice) root extract', 'acetyl glucosamine', 'phospholipids', 'sodium hyaluronate', 'glycerin', 'allantoin', 'dipotassium glycyrrhizate', 'glycyrrhiza glabra (licorice) root extract', 'epigallocatechin gallate', 'beta-glucan', 'panthenol']"
https://incidecoder.com/products/paulas-choice-defense-antioxidant-pore-purifier,Paula's Choice Defense Antioxidant Pore Purifier,Paula's,"Water, Propanediol, Butylene Glycol, Ethoxydiglycol, Glycerin, Ascorbyl Glucoside, Panthenol, Salicylic Acid, Camellia Sinensis (White Tea) Leaf Extract, Salicylic Acid, Potassium Azeloyl Diglycinate, Niacinamide, Ascorbyl Glucoside, Camellia Sinensis (White Tea) Leaf Extract, Coffea Arabica (Coffee) Fruit Extract, Vitis Vinifera (Grape) Seed Extract, Panax Ginseng Root Extract, Epigallocatechin Gallate, Ubiquinone, Calendula Officinalis (English Marigold) Extract, Centella Asiatica Extract, Glycine Soja (Soybean) Seed Extract, Niacinamide, Adenosine, Salicylic Acid, Ascorbyl Glucoside, Glycyrrhiza Glabra (Licorice) Root Extract, Potassium Azeloyl Diglycinate, Niacinamide, Glycine Soja (Soybean) Seed Extract, Glycerin, Ceramide Np, Sodium Hyaluronate, Panthenol, Salicylic Acid, Camellia Sinensis (White Tea) Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Potassium Azeloyl Diglycinate, Epigallocatechin Gallate, Calendula Officinalis (English Marigold) Extract, Centella Asiatica Extract, Glycine Soja (Soybean) Seed Extract","['water', 'propanediol', 'butylene glycol', 'ethoxydiglycol', 'glycerin', 'ascorbyl glucoside', 'panthenol', 'salicylic acid', 'camellia sinensis (white tea) leaf extract', 'salicylic acid', 'potassium azeloyl diglycinate', 'niacinamide', 'ascorbyl glucoside', 'camellia sinensis (white tea) leaf extract', 'coffea arabica (coffee) fruit extract', 'vitis vinifera (grape) seed extract', 'panax ginseng root extract', 'epigallocatechin gallate', 'ubiquinone', 'calendula officinalis (english marigold) extract', 'centella asiatica extract', 'glycine soja (soybean) seed extract', 'niacinamide', 'adenosine', 'salicylic acid', 'ascorbyl glucoside', 'glycyrrhiza glabra (licorice) root extract', 'potassium azeloyl diglycinate', 'niacinamide', 'glycine soja (soybean) seed extract', 'glycerin', 'ceramide np', 'sodium hyaluronate', 'panthenol', 'salicylic acid', 'camellia sinensis (white tea) leaf extract', 'glycyrrhiza glabra (licorice) root extract', 'potassium azeloyl diglycinate', 'epigallocatechin gallate', 'calendula officinalis (english marigold) extract', 'centella asiatica extract', 'glycine soja (soybean) seed extract']"
https://incidecoder.com/products/the-ordinary-high-adherence-silicone-primer,The Ordinary High-Adherence Silicone Primer,The,"Aqua (Water), Isodecyl Neopentanoate, Dimethicone, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Hexamethyldisiloxane, Isoceteth-20, Polysilicone-11, Tocopherol","['aqua (water)', 'isodecyl neopentanoate', 'dimethicone', 'dimethicone/bis-isobutyl ppg-20 crosspolymer', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'isohexadecane', 'hexamethyldisiloxane', 'isoceteth-20', 'polysilicone-11', 'tocopherol']"
https://incidecoder.com/products/hada-labo-skin-plumping-gel-cream,Hada Labo Skin Plumping Gel Cream,Hada,"Water, Hydroxyethyl Urea, Butylene Glycol, Glycerin, Pentylene Glycol, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Squalane, Triethylhexanoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Glycerin, Squalane, Arginine, Sodium Hyaluronate","['water', 'hydroxyethyl urea', 'butylene glycol', 'glycerin', 'pentylene glycol', 'peg/ppg/polybutylene glycol-8/5/3 glycerin', 'squalane', 'triethylhexanoin', 'ammonium acryloyldimethyltaurate/vp copolymer', 'glycerin', 'squalane', 'arginine', 'sodium hyaluronate']"
https://incidecoder.com/products/caudalie-vinoperfect-radiance-serum-discontinued,Caudalie Vinoperfect Radiance Serum (Discontinued),Caudalie,"Water, Butylene Glycol, Glycerin*, Squalane*, Tocopheryl Acetate*, Ceteareth-20*, Palmitoyl Grapevine Shoot Extract*, Glyceryl Stearate Se*, Parfum (Fragrance), Tocopheryl Acetate*, Palmitoyl Grapevine Shoot Extract*, Palmitoyl Grapevine Shoot Extract*, Glycerin*, Squalane*","['water', 'butylene glycol', 'glycerin*', 'squalane*', 'tocopheryl acetate*', 'ceteareth-20*', 'palmitoyl grapevine shoot extract*', 'glyceryl stearate se*', 'parfum (fragrance)', 'tocopheryl acetate*', 'palmitoyl grapevine shoot extract*', 'palmitoyl grapevine shoot extract*', 'glycerin*', 'squalane*']"
https://incidecoder.com/products/the-ordinary-mineral-uv-filters-spf-30-with-antioxidants,The Ordinary Mineral Uv Filters Spf 30 With Antioxidants,The,"Aqua (Water), Cyclopentasiloxane, Zinc Oxide, Titanium Dioxide, Peg-10 Dimethicone, Glycerin, Helianthus Annuus Seed Oil, Peg-9 Polydimethylsiloxyethyl Dimethicone, Hexyl Laurate, Astaxanthin, Ethyl Ferulate, Rosmarinus Officinalis Leaf Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Haematococcus Pluvialis Extract, Picea Mariana Bark Extract, Tocopherol, Glycerin, Arginine, Aspartic Acid, Glycine, Alanine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Sodium Pca, Pca, Urea, Sodium Hyaluronate, Linoleic Acid, Rosmarinus Officinalis Leaf Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Allantoin, Zinc Oxide, Titanium Dioxide","['aqua (water)', 'cyclopentasiloxane', 'zinc oxide', 'titanium dioxide', 'peg-10 dimethicone', 'glycerin', 'helianthus annuus seed oil', 'peg-9 polydimethylsiloxyethyl dimethicone', 'hexyl laurate', 'astaxanthin', 'ethyl ferulate', 'rosmarinus officinalis leaf extract', 'tasmannia lanceolata fruit/leaf extract', 'haematococcus pluvialis extract', 'picea mariana bark extract', 'tocopherol', 'glycerin', 'arginine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'sodium pca', 'pca', 'urea', 'sodium hyaluronate', 'linoleic acid', 'rosmarinus officinalis leaf extract', 'tasmannia lanceolata fruit/leaf extract', 'allantoin', 'zinc oxide', 'titanium dioxide']"
https://incidecoder.com/products/resurface-by-shani-darden-retinol-reform,Resurface by Shani Darden Retinol Reform,Resurface,"Deionized Water, Retinyl Propionate 5.0%, Aloe Vera, Glycereth-26, Octyldimethyl, Polysorbate-80, Propylene Glycol, Sodium Lactate, Sodium PCA, Niacinamide, Retinyl Propionate 5.0%, Niacinamide, Lactic Acid, Niacinamide, Sodium PCA, Aloe Vera","['deionized water', 'retinyl propionate 5.0%', 'aloe vera', 'glycereth-26', 'octyldimethyl', 'polysorbate-80', 'propylene glycol', 'sodium lactate', 'sodium pca', 'niacinamide', 'retinyl propionate 5.0%', 'niacinamide', 'lactic acid', 'niacinamide', 'sodium pca', 'aloe vera']"
https://incidecoder.com/products/the-ordinary-matrixyl-10-ha,The Ordinary Matrixyl 10% + Ha,The,"Aqua (Water), Glycerin, Butylene Glycol, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-38, Sodium Hyaluronate, Hydroxypropyl Cyclodextrin, PPG-26-Buteth-26, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-38, Glycerin, Sodium Hyaluronate","['aqua (water)', 'glycerin', 'butylene glycol', 'palmitoyl tripeptide-1', 'palmitoyl tetrapeptide-7', 'palmitoyl tripeptide-38', 'sodium hyaluronate', 'hydroxypropyl cyclodextrin', 'ppg-26-buteth-26', 'palmitoyl tripeptide-1', 'palmitoyl tetrapeptide-7', 'palmitoyl tripeptide-38', 'glycerin', 'sodium hyaluronate']"
